jumlah_carport,dapur,jumlah_garage,jumlah_lantai,kamar_mandi,kamar_tidur,luas_bangunan,luas_tanah,price_currency,price_unit,price_value,,,,,,,
1.0,1.0,1.0,1.0,2.0,3.0,130.0,190.0,Rp,Miliar,5.0,,,,,,,
2.0,1.0,2.0,3.0,3.0,4.0,480.0,200.0,Rp,Miliar,8.8,,,,,,,
2.0,1.0,4.0,1.0,8.0,7.0,548.0,733.0,Rp,Miliar,56.0,,,,,,,
2.0,2.0,2.0,1.0,4.0,4.0,500.0,942.0,Rp,Miliar,20.0,,,,,,,
2.0,2.0,4.0,3.0,6.0,5.0,800.0,350.0,Rp,Miliar,16.0,,,,,,,
1.0,1.0,1.0,2.0,4.0,4.0,280.0,210.0,Rp,Miliar,5.0,,,,,,,
1.0,1.0,1.0,2.0,2.0,4.0,216.0,343.0,Rp,Miliar,5.1,,,,,,,
1.0,1.0,2.0,3.0,3.0,3.0,400.0,230.0,Rp,Miliar,10.9,,,,,,,
1.0,1.0,1.0,2.0,3.0,3.0,200.0,160.0,Rp,Miliar,6.3,,,,,,,
1.0,2.0,2.0,4.0,5.0,4.0,400.0,117.0,Rp,Miliar,5.9,,,,,,,
2.0,2.0,12.0,2.0,4.0,5.0,900.0,1400.0,Rp,Miliar,55.0,,,,,,,
2.0,1.0,2.0,2.0,3.0,4.0,181.0,200.0,Rp,Miliar,3.5,,,,,,,
2.0,1.0,2.0,3.0,4.0,4.0,600.0,300.0,Rp,Miliar,12.8,,,,,,,
6.0,2.0,6.0,2.0,6.0,6.0,496.0,846.0,Rp,Miliar,12.9,,,,,,,
2.0,2.0,2.0,1.0,3.0,4.0,365.0,580.0,Rp,Miliar,23.0,,,,,,,
1.0,2.0,8.0,2.0,7.0,10.0,720.0,800.0,Rp,Miliar,30.0,,,,,,,
3.0,1.0,2.0,1.0,5.0,5.0,315.0,285.0,Rp,Miliar,9.2,,,,,,,
2.0,2.0,2.0,3.0,3.0,4.0,300.0,144.0,Rp,Miliar,5.75,,,,,,,
