Carport,Dapur,Daya Listrik,Garasi,Jumlah Lantai,Kamar Mandi,Kamar Tidur,Kondisi Perabotan,Luas Bangunan,Luas Tanah,Nomor Lantai,Sertifikat,Tahun Dibangun,address,latitude,longitude,price_currency,price_unit,price_value
1.0,1.0,2200 Watt,,2.0,1.0,2.0,Unfurnished,96 m²,45 m²,,,,"Pantai Indah Kapuk, Jakarta Utara",-6.027368068695068,106.67900085449219,Rp,Miliar,"1,1"
1.0,1.0,4400 Watt,1.0,2.0,3.0,4.0,Semi Furnished,350 m²,240 m²,,SHM - Sertifikat Hak Milik,,"Puri Indah, Jakarta Barat",-6.1866383,106.7425049,unknown,unknown,unknown
1.0,1.0,4400 Watt,1.0,1.0,2.0,3.0,Unfurnished,130 m²,190 m²,,SHM - Sertifikat Hak Milik,,"Puri Indah, Jakarta Barat",-6.1866383,106.7425049,Rp,Miliar,5
,1.0,,,2.0,2.0,2.0,Unfurnished,31 m²,16 m²,,SHM - Sertifikat Hak Milik,2023.0,"Cipinang, Jakarta Timur",-6.20989,106.89872,Rp,Juta,401
2.0,1.0,13300 Watt,2.0,3.0,3.0,4.0,Furnished,480 m²,200 m²,,SHM - Sertifikat Hak Milik,,"Pantai Indah Kapuk, Jakarta Utara",-6.1026441,106.7411622,Rp,Miliar,"8,8"
,,,3.0,1.0,2.0,3.0,Semi Furnished,300 m²,300 m²,,SHM - Sertifikat Hak Milik,2003.0,"Kebayoran Baru, Jakarta Selatan",-6.243936,106.799783,Rp,Miliar,15
,1.0,,,2.0,3.0,4.0,Furnished,300 m²,200 m²,,SHM - Sertifikat Hak Milik,,"Permata Buana, Jakarta Barat",-6.1585001945495605,106.74700164794922,Rp,Miliar,"9,3"
4.0,1.0,2200 Watt,,3.0,5.0,5.0,,300 m²,136 m²,,SHM - Sertifikat Hak Milik,2024.0,"Permata Buana, Jakarta Barat",-6.1761691,106.7425373,Rp,Miliar,7
4.0,1.0,,,2.0,3.0,3.0,Unfurnished,250 m²,488 m²,,SHM - Sertifikat Hak Milik,,"Kebayoran Baru, Jakarta Selatan",-6.2456989371893,106.80892815857,Rp,Miliar,29
1.0,1.0,,,2.0,2.0,4.0,Semi Furnished,205 m²,126 m²,,SHM - Sertifikat Hak Milik,2015.0,"Sunter, Jakarta Utara",-6.13717,106.86524,Rp,Miliar,"3,6"
2.0,1.0,13900 Watt,4.0,1.0,8.0,7.0,Unfurnished,548 m²,733 m²,,SHM - Sertifikat Hak Milik,2013.0,"Menteng, Jakarta Pusat",-6.196380138397217,106.837890625,Rp,Miliar,56
1.0,,3500 Watt,,1.0,2.0,3.0,Furnished,170 m²,105 m²,,SHM - Sertifikat Hak Milik,2020.0,"Kelapa Gading, Jakarta Utara",-6.161308699999999,106.9049822,Rp,Miliar,"3,2"
,2.0,3500 Watt,,1.0,3.0,5.0,Unfurnished,500 m²,1322 m²,,HGB - Hak Guna Bangunan,1980.0,"Kebayoran Lama, Jakarta Selatan",-6.2504769048819,106.78661217957,Rp,Miliar,"26,5"
2.0,2.0,,2.0,1.0,4.0,4.0,Semi Furnished,500 m²,942 m²,,SHM - Sertifikat Hak Milik,,"Cipete, Jakarta Selatan",-6.270367,106.811741,Rp,Miliar,20
2.0,2.0,,4.0,3.0,6.0,5.0,Unfurnished,800 m²,350 m²,,SHM - Sertifikat Hak Milik,2024.0,"Lebak Bulus, Jakarta Selatan",-6.31254,106.80421,Rp,Miliar,16
1.0,1.0,7700 Watt,1.0,2.0,4.0,4.0,Unfurnished,280 m²,210 m²,,SHM - Sertifikat Hak Milik,,"Lebak Bulus, Jakarta Selatan",-6.3031123,106.7794935,Rp,Miliar,5
2.0,,4400 Watt,,2.0,4.0,4.0,Unfurnished,209 m²,150 m²,,SHM - Sertifikat Hak Milik,2021.0,"Pantai Indah Kapuk 2, Jakarta Utara",-6.1237101554870605,106.87699890136719,Rp,Miliar,"5,5"
1.0,1.0,4400 Watt,1.0,2.0,2.0,4.0,Semi Furnished,216 m²,343 m²,,SHM - Sertifikat Hak Milik,2010.0,"Taman Ratu, Jakarta Barat",-6.1585001945495605,106.74700164794922,Rp,Miliar,"5,1"
1.0,1.0,4400 Watt,2.0,3.0,3.0,3.0,Semi Furnished,400 m²,230 m²,,SHM - Sertifikat Hak Milik,,"Pantai Indah Kapuk, Jakarta Utara",-6.1236701011657715,106.75318145751953,Rp,Miliar,"10,9"
1.0,1.0,,,2.0,1.0,2.0,Unfurnished,95 m²,105 m²,,SHM - Sertifikat Hak Milik,,"Metland Puri, Jakarta Barat",-6.1585,106.747,Rp,Miliar,"1,75"
1.0,1.0,5500 Watt,1.0,2.0,3.0,3.0,Semi Furnished,200 m²,160 m²,,SHM - Sertifikat Hak Milik,,"Pantai Indah Kapuk, Jakarta Utara",-6.1236701011657715,106.75318145751953,Rp,Miliar,"6,3"
1.0,2.0,,2.0,4.0,5.0,4.0,Furnished,400 m²,117 m²,,SHM - Sertifikat Hak Milik,2019.0,"Pluit, Jakarta Utara",-6.11555,106.78378,Rp,Miliar,"5,9"
,,4400 Watt,,2.0,2.0,3.0,Semi Furnished,,105 m²,,SHM - Sertifikat Hak Milik,2018.0,"Kelapa Gading, Jakarta Utara",-6.161308699999999,106.9049822,unknown,unknown,unknown
,,2200 Watt,,2.0,2.0,4.0,Semi Furnished,130 m²,90 m²,,SHM - Sertifikat Hak Milik,,"Tanjung Duren, Jakarta Barat",-6.1713515,106.7839175,Rp,Miliar,"2,2"
,,,,,1.0,2.0,Unfurnished,42 m²,,7.0,SHM - Sertifikat Hak Milik,2018.0,"Tanjung Duren, Jakarta Barat",-6.180359840393066,106.78369140625,Rp,Juta,620
,,,,,1.0,1.0,Furnished,34 m²,,,"Lainnya (PPJB,Girik,Adat,dll)",,"Lebak Bulus, Jakarta Selatan",-6.31254,106.80421,Rp,Miliar,"1,7"
,,,2.0,1.0,6.0,5.0,,523 m²,517 m²,,,,"Cipete, Jakarta Selatan",-6.270367,106.811741,Rp,Miliar,"29,5"
2.0,2.0,,12.0,2.0,4.0,5.0,,900 m²,1400 m²,,SHM - Sertifikat Hak Milik,,"Pondok Indah, Jakarta Selatan",-6.2775326,106.7794935,Rp,Miliar,55
2.0,1.0,2200 Watt,,2.0,2.0,3.0,Unfurnished,69 m²,235 m²,,SHM - Sertifikat Hak Milik,2022.0,"Cakung, Jakarta Timur",-6.187507500000001,106.9593843,Rp,Miliar,"2,65"
2.0,1.0,3500 Watt,2.0,2.0,3.0,4.0,Unfurnished,181 m²,200 m²,,SHM - Sertifikat Hak Milik,2022.0,"Cakung, Jakarta Timur",-6.187507500000001,106.9593843,Rp,Miliar,"3,5"
,,,,,1.0,1.0,Furnished,26 m²,,21.0,"Lainnya (PPJB,Girik,Adat,dll)",,"Duri Kosambi, Jakarta Barat",-6.1742401123046875,106.72051239013672,Rp,Juta,390
,,4400 Watt,,2.0,2.0,2.0,Unfurnished,81 m²,55 m²,,HGB - Hak Guna Bangunan,,"Kelapa Gading, Jakarta Utara",-6.161308699999999,106.9049822,Rp,Miliar,"2,4"
,,,,,1.0,3.0,Furnished,81 m²,,,"Lainnya (PPJB,Girik,Adat,dll)",,"Pantai Indah Kapuk, Jakarta Utara",-6.1026441,106.7411622,Rp,Miliar,"2,75"
,,,,,2.0,3.0,Furnished,88 m²,,,"Lainnya (PPJB,Girik,Adat,dll)",,"Pluit, Jakarta Utara",-6.11555,106.78378,Rp,Miliar,"2,1"
,,,,,1.0,1.0,Semi Furnished,51 m²,,,SHM - Sertifikat Hak Milik,,"Pantai Indah Kapuk, Jakarta Utara",-6.1026441,106.7411622,Rp,Miliar,"1,5"
2.0,1.0,,2.0,3.0,4.0,4.0,Semi Furnished,600 m²,300 m²,,SHM - Sertifikat Hak Milik,2014.0,"Pantai Indah Kapuk, Jakarta Utara",-6.12367,106.75318,Rp,Miliar,"12,8"
,,,,2.0,3.0,3.0,Unfurnished,150 m²,100 m²,,SHM - Sertifikat Hak Milik,,"Kav DKI, Jakarta Barat",-6.1585001945495605,106.74700164794922,Rp,Miliar,"2,15"
6.0,2.0,,6.0,2.0,6.0,6.0,Unfurnished,496 m²,846 m²,,SHM - Sertifikat Hak Milik,2012.0,"Kemang, Jakarta Selatan",-6.266904,106.823931,Rp,Miliar,"12,9"
,,2200 Watt,,2.0,3.0,4.0,Furnished,120 m²,136 m²,,SHM - Sertifikat Hak Milik,,"Cakung, Jakarta Timur",-6.187507500000001,106.9593843,Rp,Miliar,"2,3"
2.0,2.0,6600 Watt,2.0,1.0,3.0,4.0,Unfurnished,365 m²,580 m²,,SHM - Sertifikat Hak Milik,2000.0,"Pondok Indah, Jakarta Selatan",-6.2775326,106.7794935,Rp,Miliar,23
,1.0,5500 Watt,3.0,3.0,2.0,4.0,Semi Furnished,160 m²,166 m²,,SHM - Sertifikat Hak Milik,,"Setiabudi, Jakarta Selatan",-6.2136327,106.8264328,Rp,Miliar,5
1.0,1.0,2200 Watt,,3.0,3.0,3.0,Unfurnished,130 m²,63 m²,,SHM - Sertifikat Hak Milik,2023.0,"Duri Kepa, Jakarta Barat",-6.169184599999999,106.7748596,Rp,Miliar,"1,95"
1.0,1.0,,,2.0,5.0,5.0,Semi Furnished,500 m²,306 m²,,SHM - Sertifikat Hak Milik,2012.0,"Pluit, Jakarta Utara",-6.11555,106.78378,Rp,Miliar,"7,9"
1.0,2.0,,8.0,2.0,7.0,10.0,Semi Furnished,720 m²,800 m²,,SHM - Sertifikat Hak Milik,,"Kembangan, Jakarta Barat",-6.19444,106.74116,Rp,Miliar,30
,2.0,13200 Watt,3.0,2.0,4.0,4.0,Semi Furnished,800 m²,540 m²,,HGB - Hak Guna Bangunan,2012.0,"Duri Kosambi, Jakarta Barat",-6.1721148,106.7205154,Rp,Miliar,"8,99"
,,,,,1.0,2.0,Unfurnished,41 m²,,10.0,HGB - Hak Guna Bangunan,,"Tanjung Duren, Jakarta Barat",-6.1713515,106.7839175,Rp,Juta,850
,,,,,2.0,3.0,,113 m²,,,SHM - Sertifikat Hak Milik,,"Pantai Indah Kapuk, Jakarta Utara",-6.12367,106.75318,Rp,Miliar,"3,8"
2.0,1.0,4400 Watt,,2.0,3.0,3.0,Unfurnished,175 m²,160 m²,,"Lainnya (PPJB,Girik,Adat,dll)",,"Pantai Indah Kapuk 2, Jakarta Utara",-6.1026441,106.7411622,Rp,Miliar,"5,8"
2.0,1.0,5500 Watt,,2.0,6.0,5.0,Semi Furnished,400 m²,360 m²,,SHM - Sertifikat Hak Milik,,"Sunter, Jakarta Utara",-6.136937199999999,106.8620891,Rp,Miliar,"7,8"
3.0,1.0,4400 Watt,2.0,1.0,5.0,5.0,Furnished,315 m²,285 m²,,SHM - Sertifikat Hak Milik,2015.0,"Pantai Indah Kapuk, Jakarta Utara",-6.1236701011657715,106.75318145751953,Rp,Miliar,"9,2"
,,,,2.0,7.0,7.0,,1600 m²,2600 m²,,SHM - Sertifikat Hak Milik,,"Intercon, Jakarta Barat",-6.2021846,106.7502816,unknown,unknown,unknown
2.0,2.0,4400 Watt,2.0,3.0,3.0,4.0,Semi Furnished,300 m²,144 m²,,SHM - Sertifikat Hak Milik,2016.0,"Permata Buana, Jakarta Barat",-6.1585,106.747,Rp,Miliar,"5,75"
2.0,1.0,4400 Watt,,2.0,2.0,3.0,Unfurnished,100 m²,146 m²,,SHM - Sertifikat Hak Milik,2020.0,"Green Lake City, Jakarta Barat",-6.1852561,106.703769,Rp,Miliar,"2,7"
2.0,1.0,,2.0,2.0,3.0,4.0,Semi Furnished,345 m²,240 m²,,SHM - Sertifikat Hak Milik,,"Pantai Indah Kapuk, Jakarta Utara",-6.12367,106.75318,Rp,Miliar,"8,8"
2.0,1.0,4400 Watt,,3.0,3.0,3.0,Semi Furnished,476 m²,136 m²,,"Lainnya (PPJB,Girik,Adat,dll)",2023.0,"Pantai Indah Kapuk, Jakarta Utara",-6.1026441,106.7411622,Rp,Miliar,"9,5"
1.0,1.0,,,2.0,3.0,4.0,Semi Furnished,120 m²,90 m²,,SHM - Sertifikat Hak Milik,,"Pantai Indah Kapuk, Jakarta Utara",-6.12367,106.75318,Rp,Miliar,"3,65"
1.0,1.0,,,2.0,3.0,3.0,Semi Furnished,90 m²,90 m²,,"Lainnya (PPJB,Girik,Adat,dll)",,"Daan Mogot, Jakarta Barat",-6.157969951629639,106.7605972290039,Rp,Miliar,"2,58"
,,,5.0,3.0,4.0,4.0,Furnished,1388 m²,474 m²,,SHM - Sertifikat Hak Milik,,"Menteng, Jakarta Pusat",-6.1937297,106.8392111,Rp,Miliar,65
,1.0,2200 Watt,,3.0,3.0,4.0,Unfurnished,125 m²,52 m²,,SHM - Sertifikat Hak Milik,2024.0,"Tanjung Duren, Jakarta Barat",-6.180359840393066,106.78369140625,Rp,Miliar,"2,15"
2.0,1.0,,2.0,2.0,4.0,4.0,Unfurnished,500 m²,450 m²,,SHM - Sertifikat Hak Milik,,"Intercon, Jakarta Barat",-6.2021846,106.7502816,Rp,Miliar,"9,8"
,,2200 Watt,,2.0,4.0,3.0,,105 m²,128 m²,,SHM - Sertifikat Hak Milik,,"Cibubur, Jakarta Timur",-6.356087199999999,106.879792,Rp,Miliar,"1,9"
2.0,,13900 Watt,4.0,2.0,8.0,7.0,Semi Furnished,548 m²,733 m²,,SHM - Sertifikat Hak Milik,2012.0,"Menteng, Jakarta Pusat",-6.19638,106.83789,Rp,Miliar,49
1.0,1.0,2200 Watt,,2.0,2.0,2.0,Semi Furnished,72 m²,60 m²,,"Lainnya (PPJB,Girik,Adat,dll)",2022.0,"Pantai Indah Kapuk 2, Jakarta Utara",-6.1026441,106.7411622,Rp,Miliar,2
,2.0,,,4.0,4.0,6.0,Semi Furnished,900 m²,374 m²,,SHM - Sertifikat Hak Milik,,"Taman Meruya, Jakarta Barat",-6.1935444,106.7419278,Rp,Miliar,9
,,3500 Watt,,2.0,7.0,4.0,,250 m²,142 m²,,SHM - Sertifikat Hak Milik,,"Cakung, Jakarta Timur",-6.187507500000001,106.9593843,Rp,Miliar,"3,75"
,,2200 Watt,,2.0,2.0,3.0,,78 m²,90 m²,,SHM - Sertifikat Hak Milik,,"Cibubur, Jakarta Timur",-6.356087199999999,106.879792,Rp,Miliar,"2,18"
2.0,1.0,2200 Watt,,2.0,2.0,4.0,Unfurnished,160 m²,102 m²,,SHM - Sertifikat Hak Milik,,"Kelapa Gading, Jakarta Utara",-6.161308699999999,106.9049822,Rp,Miliar,"2,8"
,,2200 Watt,,2.0,4.0,4.0,,245 m²,170 m²,,SHM - Sertifikat Hak Milik,,"Cibubur, Jakarta Timur",-6.356087199999999,106.879792,Rp,Miliar,"3,3"
,1.0,,,2.0,2.0,2.0,Furnished,120 m²,60 m²,,SHM - Sertifikat Hak Milik,,"Pantai Indah Kapuk 2, Jakarta Utara",-6.076946282216,106.71495362061,Rp,Miliar,"3,3"
1.0,1.0,,,3.0,2.0,3.0,Unfurnished,71 m²,24 m²,,SHM - Sertifikat Hak Milik,2024.0,"Percetakan Negara, Jakarta Pusat",-6.18935,106.85756,Rp,Juta,959
,1.0,2200 Watt,,2.0,2.0,2.0,Unfurnished,39 m²,20 m²,,SHM - Sertifikat Hak Milik,2024.0,"Cipinang, Jakarta Timur",-6.207429299999999,106.8915948,Rp,Juta,458
,,4400 Watt,,1.0,4.0,4.0,Furnished,264 m²,200 m²,,SHM - Sertifikat Hak Milik,,"Kembangan, Jakarta Barat",-6.1987086,106.741926,unknown,unknown,unknown
2.0,2.0,4400 Watt,4.0,2.0,4.0,5.0,Semi Furnished,400 m²,628 m²,,SHM - Sertifikat Hak Milik,,"Lebak Bulus, Jakarta Selatan",-6.31254,106.80421,Rp,Miliar,"9,9"
10.0,2.0,23000 Watt,2.0,,4.0,5.0,Semi Furnished,600 m²,1375 m²,,SHM - Sertifikat Hak Milik,,"Pondok Indah, Jakarta Selatan",-6.2775326,106.7794935,Rp,Miliar,43
,1.0,,,3.0,4.0,4.0,Semi Furnished,500 m²,360 m²,,SHM - Sertifikat Hak Milik,2015.0,"Pantai Indah Kapuk, Jakarta Utara",-6.12367,106.75318,unknown,unknown,unknown
2.0,1.0,,,2.0,4.0,3.0,Semi Furnished,190 m²,144 m²,,SHM - Sertifikat Hak Milik,,"Metland Puri, Jakarta Barat",-6.1585,106.747,Rp,Miliar,"4,7"
,,,,,1.0,1.0,Semi Furnished,14 m²,,8.0,"Lainnya (PPJB,Girik,Adat,dll)",,"Pantai Indah Kapuk 2, Jakarta Utara",-6.076946258544922,106.71495056152344,Rp,Juta,170
1.0,1.0,,,,3.0,4.0,Semi Furnished,216 m²,200 m²,,SHM - Sertifikat Hak Milik,,"Meruya, Jakarta Barat",-6.19665,106.73186,Rp,Miliar,3
2.0,2.0,11000 Watt,2.0,3.0,5.0,4.0,Furnished,600 m²,270 m²,,SHM - Sertifikat Hak Milik,2020.0,"Pantai Indah Kapuk, Jakarta Utara",-6.111547470092773,106.76139068603516,Rp,Miliar,"16,8"
,,,,,1.0,1.0,Furnished,42 m²,,33.0,HGB - Hak Guna Bangunan,,"Kuningan, Jakarta Selatan",-6.23713,106.82374,Rp,Juta,850
